sensitivity,l1_severity_threshold,l2_confidence_threshold,l3_risk_threshold,precision,recall,n_detected,n_faulted,median_lead_time_min,median_detection_vs_onset_min,mean_containment_rate,false_alarms_per_shift,false_alarms_per_shift_low,false_alarms_per_shift_high,n_correct_station,n_matched_in_window,n_false_positives,total_alerts
0.0,3.0,0.62,0.72,0.8571,1.0,6,6,36.2,-15.6,0.7855,1.167,0.0,4.292,258,24,43,301
0.090909,2.8182,0.58,0.6818,0.8404,1.0,6,6,36.2,-15.0,0.8688,1.5,0.0,5.226,258,24,49,307
0.181818,2.6364,0.54,0.6436,0.8448,1.0,6,6,36.7,-14.4,0.913,2.333,0.0,7.504,332,27,61,393
0.272727,2.4545,0.5,0.6055,0.8346,1.0,6,6,36.7,-13.3,0.9422,2.333,0.0,7.504,333,27,66,399
0.363636,2.2727,0.46,0.5673,0.8043,1.0,6,6,36.7,-12.6,0.9708,3.333,0.0,8.934,333,27,81,414
0.454545,2.0909,0.42,0.5291,0.7673,1.0,6,6,37.4,-12.0,0.9901,4.333,0.0,9.934,333,27,101,434
0.545455,1.9091,0.38,0.4909,0.71,1.0,6,6,37.4,-10.6,0.9972,6.5,1.086,11.914,333,27,136,469
0.636364,1.7273,0.34,0.4527,0.5592,1.0,6,6,37.4,-10.6,1.0,13.0,0.394,25.606,354,31,279,633
0.727273,1.5455,0.3,0.4145,0.5101,1.0,6,6,39.7,-10.6,1.0,18.0,4.914,31.086,380,33,365,745
0.818182,1.3636,0.26,0.3764,0.4381,1.0,6,6,39.7,-9.5,1.0,24.667,8.456,40.877,382,35,490,872
0.909091,1.1818,0.22,0.3382,0.3513,1.0,6,6,41.6,-8.9,1.0,40.333,18.63,62.037,391,35,722,1113
1.0,1.0,0.18,0.3,0.1876,1.0,6,6,57.2,-7.8,1.0,109.167,79.348,138.985,422,46,1827,2249
